Africa	n. 非洲
absolute	adj. 纯粹的;道地的\nn. 绝对;绝对事物
absolution	n. 解除;免附;赦罪
absolutism	n. 绝对性;绝对主义
absolve	v. 赦免
absorb	v. 把...并入;吸收
absorbent	adj. 能吸收的\nn. 吸收剂;吸收体
absorption	n. 合并;吸收
abstain	v. 戒绝;弃权
abstemious	adj. 简单;有节制的
abstention	n. 戒绝;弃权
abstract	n. 抽象概念;摘要\nv. 提取;作摘要
abstruse	adj. 秘密的;深奥的
absurd	adj. 荒诞派的;荒谬的\nn. 荒诞
abundance	n. 大量;富有
abundant	adj. 大量的;丰富的
abuse	n. 弊病;滥用\nv. 滥用;虐待
abusive	adj. 谩骂的;虐待的
abut	v. 使紧靠;邻接
abysmal	adj. 极坏的
academic	adj. 学理的;学术的\nn. 大学生;学者
academy	n. 私立中学;学院
accede	v. 答应;加入
accelerate	v. 促进;加快
accent	n. 口音;重音;腔调\nv. 着重
accentuate	v. 强调
accept	v. 承认;接受
acceptable	adj. 合意的;可接受的
acceptance	n. 承认;接受
access	n. 接近;通道\nv. 存取;接近
accessary	adj. 同谋\nn. 同谋
accessible	adj. 见到的;可接近的
accession	n. 就职;添加\nv. 把...登记入册
accessory	adj. 附加的;同谋的\nn. 附件;同谋
accidence	n. 初步;词形变化
accident	n. 机遇;意外事情
accidental	adj. 非主要的;意外的\nn. 临时记号;突出光线
acclaim	n. 欢呼\nv. 宣布;欢呼
accompany	v. 伴随;补充
accomplice	n. 共犯;同伙
accomplish	v. 达到;实现
accord	n. 谅解;谐和\nv. 授予;相符合
accordance	n. 授予;一致
accordion	n. 手风琴
accost	n. 搭讪\nv. 勾搭
account	n. 记述;解释\nv. 报帐;导致
accountant	n. 会计人员
accredit	v. 确认;委派
accretion	n. 连生;增加物
accrue	v. 获得;产生
accumulate	v. 堆积;积成堆
accuracy	n. 准确
accurate	adj. 准确的
accursed	adj. 可恶的;受诅咒的
accusation	n. 指控;控告
accusative	adj. 宾格的\nn. 宾格
accuse	v. 指控
accustom	v. 使习惯于
ace	adj. 第一流的\nn. A 纸牌;发球得分\nv. 打败
ache	n. 疼痛\nv. 哀怜;痛
achieve	v. 达到;完成
acid	adj. 酸的\nn. 尖刻;酸
acidify	v. 酸化
acidity	n. 尖刻;酸性
acme	n. 最高点
acoustic	adj. 声学的;听觉的
acoustics	n. 声学;音质
acquaint	v. 使认识
acquiesce	v. 默然同意
acquire	v. 捕获;取得
acquit	v. 宣告...无罪
acquittal	n. 履行;清偿
acre	n. 英亩
acrid	adj. 刻薄的;辛辣的
acrobat	n. 杂技演员
acrobatics	n. 巧妙手法;杂技
acronym	n. 首字母缩拼词
across	prep. 穿过...;与...相交叉
act	n. 幕;行为\nv. 扮演;演
action	n. 行动;行为
activate	v. 使活化;有生气
active	adj. 活跃的;积极的\nn. 活跃的人;主动态
activist	n. 激进主义分子;积极分子
activity	n. 活动;行动
actor	n. 行动者;演员
actress	n. 女演员
actual	adj. 实际的;现行的
actuality	n. 记录片;真事
actualize	v. 实行;成为现实
actually	adv. 竟然;如今
actuate	v. 激励;开动
acuity	n. 尖锐;剧烈
acumen	n. 渐尖头;敏锐;明智
acute	adj. 尖的;尖锐的\nn. 尖音符
ad	n. 作广告
adage	n. 谚语
adamant	adj. 坚强的;坚硬的\nn. 坚硬的物质
adapt	v. 改编;适应
adaptable	adj. 适合的
adaptation	n. 改编;适应
adaptor	n. 接合体分子
add	v. 添加;做加法
addendum	n. 补遗;齿顶
addict	n. 入迷的人;有瘾的人\nv. 使沉溺;使成瘾
addition	n. 加;增加的人
additional	adj. 添加的
additive	adj. 加成的;加法的\nn. 添加物
addle	adj. 变质的;昏乱的\nv. 使变质;变质
address	n. 地址;演说\nv. 对付;呼吁
addressee	n. 收信人
adduce	v. 引证
adept	adj. 巧妙的;熟练的\nn. 炼金术士;能手
adequate	adj. 勉强够的;适当的
adhere	v. 坚持;粘附
adherent	adj. 贴生的;粘着的\nn. 信徒
adhesive	adj. 忘不了的;粘的\nn. 绊创膏;粘合剂
adjacent	adj. 邻近的
adjective	n. 形容词
adjoin	v. 附加;贴近;毗连
adjourn	v. 使休会;延期
adjunctive	adj. 附加的
adjust	v. 调节;解决
adjustable	adj. 调节的
adjustment	n. 调节;调解
adjutant	n. 副官;助手
administer	v. 给予;施行
admirable	adj. 绝妙的
admiral	n. 海军上将;舰队司令
admiralty	n. 海事法庭
admiration	n. 惊奇;钦佩
admire	v. 称赞;钦佩
admissible	adj. 可进入的;可容许的
admission	n. 录用;入场费
admit	v. 承认;接受
admittance	n. 导纳;通道
admittedly	adv. 公认地
admonish	v. 警告;力劝
admonition	n. 警告;劝告
ado	n. 纷扰;忙乱
adolescent	adj. 青春期的;青少年的\nn. 青少年
adopt	v. 采取;继承
adoption	n. 采取;收养
adoptive	adj. 采取的;收养的
adorable	adj. 可爱的
adoration	n. 崇拜
adore	v. 崇拜
adorn	v. 装饰
adrift	adj. 漂浮着;脱开着\nadv. 漂浮着;脱开着
adroit	adj. 机敏的;灵巧的
adulate	v. 过分称赞
adulation	n. 过分的称赞
adult	adj. 成年的;成熟的\nn. 成年人
adulterer	n. 奸夫
adulteress	n. 奸妇
adultery	n. 通奸
advance	adj. 先行的;预先的\nn. 前进\nv. 促进;提出
advantage	n. 好处;有利地位\nv. 有利于;获利
advent	n. 出现
adventure	n. 冒险;生意\nv. 拿...冒险;冒险
adventurer	n. 雇佣兵;冒险家
adverb	n. 副词;状语词组
adversary	n. 敌手;对手
adverse	adj. 不利的;逆的
adversity	n. 厄运;灾祸
advertise	v. 公告;登公告
advice	n. 报道;劝告
advisable	adj. 可取的
advise	v. 建议;劝告
adviser	n. 顾问;指导教师
advisory	adj. 顾问的;劝告的\nn. 报告
advocacy	n. 辩护;拥护
advocate	n. 辩护者;基督\nv. 拥护
adze	n. 扁斧
aeon	n. 极长时期;永世
aerate	v. 充气于;供氧于
aerial	adj. 航空的;空气的\nn. 前传;天线
aerobatics	n. 飞行特技
aeroplane	n. 飞机
aerospace	n. 航空与航天空间
aesthetic	adj. 美的;美学的
afar	adv. 在远处
affable	adj. 亲切友善的
affair	n. 事;事情
affect	n. 内心倾向;自觉感情\nv. 打动;侵袭
affection	n. 属性;影响
affidavit	n. 宣誓书
affiliate	n. 成员\nv. 使隶属于;发生联系
affinity	n. 类同;相似;喜好
affirm	v. 断言;证实
affix	n. 词缀;贴上;附加\nv. 添;添上
afflict	v. 使苦恼
affliction	n. 苦恼;苦事
affluence	n. 大量;富裕
affluent	adj. 畅流的;充裕的\nn. 富裕的人;支流
afford	v. 买得起;提供
afforest	v. 造林于
affray	n. 闹事\nv. 恐吓
affront	n. 公开侮辱\nv. 公开侮辱;面对
afghani	n. 阿富汗尼
aficionado	n. 斗牛迷
afield	adv. 离开着;偏离着
aflame	adj. 炽烈的;燃烧着\nadv. 炽烈的;燃烧着
afloat	adj. 飘浮着;漂流着\nadv. 飘浮着;漂流着
afoot	adj. 活动着;徒步\nadv. 活动着;徒步
aforesaid	adj. 上述的
afraid	adj. 恐惧的;遗憾的
afresh	adv. 重新
after	prep. 随...之后;在...后面\nconj. 在...以后
afterlife	n. 死后的生活;来世
aftermath	n. 后果
afternoon	n. 后期;下午
afterwards	adv. 以后
again	adv. 到原处;又
against	prep. 对...不利;逆
agape	adj. 大张着嘴;洞开着\nadv. 大张着嘴;洞开着\nn. 爱筵;兄弟情谊
agate	n. 玛瑙
age	n. 成年;年龄\nv. 使老;变陈
ageless	adj. 永恒的
agency	n. 代理行
agenda	n. 行为事项
agent	n. 代理人;动源
aggravate	v. 激怒;加重
aggregate	adj. 聚合的;聚集的\nn. 集聚体;总数\nv. 聚集;使聚集
aggression	n. 敌对行为;侵犯
aggressive	adj. 侵犯的
aggressor	n. 侵略者
aggro	n. 暴力扰乱
aghast	adj. 吓呆的
agile	adj. 机敏的;敏捷的
agio	n. 贴水;贴水率
agitate	v. 鼓动;搅动
agitation	n. 激动;搅动
agitator	n. 鼓动者;搅拌器
aglow	adj. 发光的\nadv. 发光地
agnostic	adj. 不可知论的\nn. 不可知论者
ago	adv. 以前
agog	adj. 渴望着\nadv. 渴望着
agonize	v. 苦斗;受折磨
agony	n. 爆发;痛苦
agrarian	adj. 土地的;土地所有制的\nn. 平均地权论者
agree	v. 承认;表示同意
agreeable	adj. 适合的;同意的
agreement	n. 达成协议;协定
aground	adj. 搁浅;在地上\nadv. 搁浅;在地上
ah	adv. 啊
aha	adv. 啊哈
ahead	adv. 向前;在将来
ahem	adj. 哼
aid	n. 帮助;外援\nv. 帮助
aide	n. 副官;助手
ail	v. 使受病痛;处境困难
aim	n. 瞄准;目的\nv. 制导;打算
air	n. 空气;天气\nv. 晾;晾
airborne	adj. 空运的;升空的
airbus	n. 空中客车
aircraft	n. 飞机
aircrew	n. 空勤人员
airforce	n. 空军
airhostess	n. 空姐
airlane	n. 航线
airlift	n. 空运\nv. 空运
airline	n. 航空公司;航线
airliner	n. 大型客机
airmail	n. 航空信;航空邮件\nv. 航空邮寄
airplane	n. 飞机
airport	n. 机场
airship	n. 飞机;飞艇
airspace	n. 空域;领空
airway	n. 风道;气道
airy	adj. 通风的;空洞的
aisle	n. 通道;侧廊
ajar	adj. 半开着;不协调地\nadv. 半开着;不协调地
akimbo	adj. 弯曲着\nadv. 弯曲着
akin	adj. 同类的;同源的
alacrity	n. 乐意;敏捷
alarm	n. 惊恐;警报\nv. 打扰;使惊恐
alas	adv. 哎呀
albatross	n. 海鸟绒;信天翁
albino	n. 白化体;白化病
album	n. 唱片套;粘贴簿;相册
alcohol	n. 醇;酒糖;酒精
alcoholic	adj. 含酒精的;酒精的\nn. 酗酒者
alcove	n. 凹室;凉亭
alert	adj. 活泼的;警觉的\nn. 警报;警戒\nv. 使认识到;向...报警
algebra	n. 代数学;线性代数
algorithm	n. 算法;规则系统
alias	n. 化名
alibi	n. 借口\nv. 为...辩解;辩解
alien	adj. 外国的\nn. 外国人;外侨\nv. 使疏远;转让
alienate	v. 使疏远;离间;转让
alight	adj. 燃烧着;照亮的\nv. 飘落;下来
align	v. 校正;结盟
alike	adj. 同样的\nadv. 一样地
aliment	n. 精神养料;食物\nv. 向...提供食物
alimentary	adj. 饮食的;消化的
alimony	n. 赡养费;生活费
alive	adj. 存在的;活着的
alkali	n. 碱
all	adv. 单单;更其\npron. 全体;一切
allay	v. 减轻;平息
allege	v. 断言;提出;指控;声言
allegedly	adv. 根据宣称
allegiance	n. 忠诚;忠贞
allegory	n. 讽喻法;寓言
allergy	n. 变应性;反感;过敏症
alleviate	v. 使易于忍受;缓和
alley	n. 球道;小径
alliance	n. 结盟;盟约
allied	adj. 结盟的;协约国的
allocate	v. 把...拨给;分配
allotment	n. 拨款;分配
allow	v. 允给;允许
allowance	n. 津贴;限额\nv. 定量供应
alloy	n. 合金\nv. 减少
allude	v. 暗指;暗示
allure	n. 诱惑力;勾引\nv. 诱惑;迷人
allusion	n. 暗指;影射;典故
alluvium	n. 冲积层
ally	n. 同盟国;助手\nv. 使结盟;联合
almanac	n. 历书;年鉴
almighty	adj. 极度的;全能的\nadv. 非常
almost	adv. 几乎
alms	n. 好事;施舍
aloft	adv. 向高处;在高处
alone	adj. 单单;单独的\nadv. 单独地;仅仅
along	prep. 沿着;依照
alongside	adv. 在旁边\nprep. 在...旁边
aloof	adj. 冷漠的;远离的\nadv. 距离上
aloud	adv. 出声地;大声的
alpha	adj. 第一位的\nn. 第一个;优等
alphabet	n. 初步;符号系统;字母表
already	adv. 马上;已经
also	adv. 也;而且;同样地
altar	n. 圣餐台;圣坛
alter	v. 改变;阉割
alteration	n. 改变
alternate	adj. 间隔的;交替的\nn. 代替者;选择\nv. 交替;轮流
alternator	n. 交流发电机
although	conj. 虽然;尽管
altimeter	n. 测高仪
altitude	n. 高;高处
alto	adj. 中音部的\nn. 女低音;中音乐器
altogether	adv. 完全;总共
aluminium	n. 铝
always	adv. 永远;总是
am	v. be的第一人称现在时形式
amalgamate	v. 使混合;使混;联合
amass	v. 积聚;聚集
amateur	adj. 外行的\nn. 爱好者;外行
amateurish	adj. 业余的
amaze	v. 使迷惑;惊奇
amazement	n. 惊奇
ambassador	n. 大使;代表
amber	adj. 琥珀色的;琥珀制的\nn. 黄灯;琥珀
ambience	n. 点缀;周围环境;气氛;氛围
ambiguity	n. 含糊不清
ambiguous	adj. 引起歧义的
ambition	n. 强烈欲望\nv. 有...的野心
ambitious	adj. 费劲的;有野心的
ambivalent	adj. 有矛盾情绪的
amble	n. 缓行步态\nv. 缓行
ambrosia	n. 仙果;珍馐美味
ambulance	n. 救护车
ambush	n. 伏击者;埋伏\nv. 伏击;打埋伏
amend	v. 改进;纠正
amenity	n. 舒适
amiable	adj. 可爱的;友好的
amicable	adj. 友善的
amid	prep. 在...中间
amidships	adv. 在中部
amiss	adj. 不恰当的;出差错的\nadv. 不顺当;错误地
amity	n. 和睦
ammeter	n. 安培计
ammunition	n. 弹药;军火
amnesia	n. 记忆缺失;健忘症
amnesty	n. 大赦;忽视\nv. 对...实行大赦
amok	n. 杀人狂
among	prep. 被...所环绕;系...中之一
amoral	adj. 无从区分是非的
amorous	adj. 求爱的;性爱的;多情的
amortize	v. 分期偿还;摊销
amount	n. 量;总数\nv. 等同;合计
amour	n. 恋人;性爱
amp	n. 截肢;安培
ampere	n. 安培
amphibian	adj. 两栖的\nn. 两栖动物;水陆飞机
ample	adj. 大量的;宽敞的
amplifier	n. 放大器;扩大的人
amplify	v. 放大;夸大
amplitude	n. 充足;幅度
amputate	v. 砍掉;切断
amulet	n. 护身符
amuse	v. 打发;逗乐
amusement	n. 乐;娱乐
an	det. 一
anaemia	n. 贫血;无活力
analgesic	adj. 痛觉缺失的\nn. 止痛剂
analogize	v. 对...作类比
analogue	n. 同源词;相似物
analogy	n. 比喻;同功\nv. 类推;比拟
analyse	v. 分析;解析
analysis	n. 分析
analyst	n. 分析者
analytic	adj. 分析的
analytical	adj. 分析的
anarchism	n. 无法无天;无政府主义
anarchy	n. 无政府状态;混乱状态
anatomy	n. 结构;解剖学
ancestor	n. 原型;原种
ancestry	n. 世系;祖先
anchor	n. 锚;隐士\nv. 固定;抛锚
anchorage	n. 锚地;下锚
ancient	adj. 古代的;古老的\nn. 古钱;旗帜
ancillary	adj. 从属的;辅助的\nn. 附属物;助手
and	conj. 和
anecdote	n. 秘闻;轶事
aneroid	adj. 无液的
anew	adv. 再次;重新
angel	n. 安琪儿;天使
angelic	adj. 天使般的;天使的
anger	n. 怒;痛苦\nv. 使发怒;发怒
angina	n. 绞痛
angle	n. 角;角度\nv. 获取;钓鱼
angry	adj. 发怒的;狂暴的
angst	n. 焦虑
anguish	n. 极度痛苦;剧痛\nv. 感到极度的痛苦
angular	adj. 有角的;骨瘦如柴的
anhydrous	adj. 无水的
animadvert	v. 批评;评述
animal	n. 动物;畜
animation	n. 活;激励
animosity	n. 仇恨
ankle	n. 踝
annals	n. 编年史;活动年报;年鉴
anneal	v. 锻炼;烧
annex	n. 附加物\nv. 附加;盖;吞并
annexe	n. 附加部分
annihilate	v. 歼灭;取消
annotate	v. 给...作注解;作注解
announce	v. 声称;宣布
announcer	n. 宣告者
annoy	v. 打搅;使恼怒
annual	adj. 每年的\nn. 年报
annuity	n. 年金;年金保险;养老金
annul	v. 废除;使消失
annular	adj. 环状的
anode	n. 阳极
anodyne	adj. 安慰人的;止痛的\nn. 止痛药
anomalous	adj. 不规则的;反常的
anomaly	n. 不规则;畸型
anon	adv. 立刻;下次
anonymous	adj. 匿名的;无特色的
another	pron. 又一个
answer	n. 答案;反应\nv. 回应;回击
ant	n. 蚂蚁
antagonism	n. 对抗;拮抗
antagonize	v. 使对抗;反抗;树敌
antarctic	adj. 南极的\nn. 南极地区
antecedent	adj. 前项的;先时的\nn. 前事;前项
antedate	n. 倒填的日期\nv. 发生于...以前
antelope	n. 叉角羚;羚羊
antenatal	adj. 胎儿期的
antenna	n. 触角;蕊喙;天线
anterior	adj. 先前的;在前的
anteroom	n. 前厅
anthem	n. 国歌;圣歌
anthology	n. 选集
anthracite	n. 无烟煤
anthropoid	adj. 似人的;似猿的\nn. 类人猿
antibiotic	adj. 抗生的\nn. 抗菌素
antibody	n. 抗体
anticipate	v. 预期;预言
anticlimax	n. 突降;突降法
antics	n. 滑稽动作
antidote	n. 矫正方法;解毒药
antifreeze	adj. 阻冻的\nn. 海洛因;阻冻剂
antigen	n. 抗原
antihero	n. (缺乏主角气质的)反主角
antiknock	adj. 抗爆的\nn. 抗爆;抗爆剂
antipathy	n. 不相容;反感
antiquary	n. 古文物收藏家
antique	adj. 陈旧的;古风的\nn. 古玩;古董
antiquity	n. 古代;古迹
antiseptic	adj. 抗菌的;防腐的;消毒的\nn. 抗菌剂;防腐剂;消毒剂
antisocial	adj. 反社会
antithesis	n. 对偶;对照
antler	n. 角枝;鹿角
antonym	n. 反义词
anus	n. 肛门
anxiety	n. 焦虑;渴望
anxious	adj. 焦虑的
any	adv. 多少;略\npron. 若干
anybody	pron. 任何人
anyhow	adv. 不管怎样\nn. 随便杂乱无张
anyone	pron. 任何人
anything	pron. 任何事物
anyway	adv. 随随便便地
anywhere	pron. 任何地方
aorta	n. 主动脉
apace	adv. 飞快地
apart	adv. 成距离;成零碎
apartheid	n. 分隔;种族隔离
apartment	n. 房间;一套房间
apathy	n. 无感情;无兴趣
ape	n. 猴;模仿者\nv. 模仿
aperitif	n. 开胃酒
aperture	n. 孔;孔径
apex	n. 顶;顶峰
aphorism	n. 格言;箴言
apiary	n. 养蜂场
apiece	adv. 按各个计算
apocalypse	n. 启示录;天启
apocryphal	adj. 次经的
apogee	n. 远地点;最远点
apologetic	adj. 辩护的;道歉的\nn. 辩护
apologize	v. 道歉;辩解
apology	n. 辩护;道歉
apoplexy	n. 中风
apostrophe	n. 撇号
appal	v. 减弱;走味
apparatus	n. 机器;器官
apparent	adj. 表面上的;显然的
apparition	n. 初现;鬼
appeal	n. 呼吁;上诉\nv. 控告;呼吁
appear	v. 出现;露面
appearance	n. 出版;出现
appease	v. 缓解;平息
append	v. 附加;盖
appendage	n. 附器;附属物
appendix	n. 附录;阑尾
appertain	v. 属
appetite	n. 爱好;胃口
appetizer	n. 开胃小吃
appetizing	adj. 开胃的
applaud	v. 称赞;鼓掌
applause	n. 称赞;鼓掌
apple	n. 苹果
appliance	n. 器具;器械
applicable	adj. 可应用的;适当的
applicant	n. 申请人
applique	n. 贴花;贴花细工\nv. 缝上;在...上贴花
apply	v. 涂;应用
appoint	v. 任命;下令
apportion	v. 分派
appraisal	n. 估量;评价
appraise	v. 估量;评价
appreciate	v. 重视;涨价;鉴赏
apprehend	v. 逮捕;领会
apprentice	n. 初学者;学徒\nv. 当学徒;使当学徒
apprise	v. 通知
approach	n. 进路;近似\nv. 近似;靠近
approval	n. 批准;赞成
approve	v. 批准;赞成
apricot	adj. 杏黄色的\nn. 杏;杏子
apron	n. 回车场;围裙
apropos	adj. 恰当的\nadv. 附带地;恰当地\nprep. 关于
apt	adj. 聪明的;恰当的\nadv. 倾向于
aptitude	n. 恰当;倾向;能力;天资
aqualung	n. 水肺
aquaplane	n. 滑水板\nv. 在积水的路面打滑
aquarium	n. 水旅馆;养鱼缸
aquatic	adj. 水上的;水生的\nn. 水上运动;水生植物
aqueduct	n. 导管;沟渠
aqueous	adj. 水成的;水的
aquiline	adj. 鹰的;似鹰的
arable	adj. 可耕的\nn. 可耕地
arbiter	n. 裁决人;仲裁人
arbitrage	n. 套利;仲裁
arbitrary	adj. 专断的
arbitrate	v. 裁决;裁定
arboreal	adj. 树木的
arboretum	n. 树木园
arbour	n. 花园;棚架
arc	n. 电弧;弧\nv. 形成电弧
arch	adj. 调皮的;为首的\nn. 拱;拱形\nv. 使成弓形;拱起
archaic	adj. 古代的;古体的
archaism	n. 古词;拟古主义
archbishop	n. 大主教
archer	n. 弓箭手;人马座
archetype	n. 典型;范典
architect	n. 建筑师;设计师\nv. 设计
archives	n. 档案馆;档案
archway	n. 拱道;拱门
arclamp	n. 弧光灯
arctic	adj. 北极的;极冷的\nn. 北极
ardent	adj. 热心的
ardour	n. 激情;热情
arduous	adj. 艰巨的;费力的
area	n. 地区;面积
arena	n. 场地;角斗场
argot	n. 黑话;行话
arguable	adj. 可论证的;可争辩的
argue	v. 争论;争吵
argument	n. 理由;说理
arid	adj. 不毛的;干旱的
aright	adv. 正确地
arise	v. 起立;上升;出现;发生
arithmetic	adj. 算术的\nn. 估计;算术
ark	n. 大平底船;方舟
arm	n. 臂;军种\nv. 提供;武装起来
armada	n. 舰队;一大批
armament	n. 军备;军队
armature	n. 电枢;盔甲
armchair	adj. 空想的\nn. 扶手椅;空想
armistice	n. 停战
armour	n. 盔甲;装甲
armoured	adj. 装甲的
armourer	n. 军械士
army	n. 军队;陆军
armyman	n. 军人
aroma	n. 芳香;风味
arose	arise的过去式
around	adv. 兜着圈子;在周围\nprep. 环绕;在...各处
arouse	v. 唤醒;引起
arraign	v. 传讯;指责;提审
arrange	v. 安排;整理
arrant	adj. 彻底的
array	n. 军队;排列;部署\nv. 打扮;配置
arrears	n. 欠债;尾活
arrest	n. 逮捕;停止\nv. 逮捕;吸引
arrival	n. 到达;到达者
arrive	v. 抵达;出生
arrogant	adj. 傲慢的
arrogate	v. 僭称
arrow	n. 箭;箭号\nv. 箭一般地飞速行进
arse	n. 饭桶;屁股\nv. 游荡
arsehole	n. 屁眼
arsenal	n. 军火库;武库
arson	n. 放火
art	n. 美术;艺术
artefact	n. 人工制造品
arterial	adj. 动脉的;干线的
artery	n. 动脉;干线
artesian	n. 自流井
artful	adj. 狡猾的;巧妙的
arthritis	n. 关节炎
article	n. 契约;条款;物品;冠词\nv. 列举;进行控告
articulate	adj. 善于表达的\nv. 发音;讲话
artifice	n. 奸计;狡诈
artificer	n. 发明者;技工
artificial	adj. 假的;人工的
artillery	n. 火炮;炮兵
artisan	n. 工匠
artist	n. 能手;艺术家
artiste	n. 能手;艺人
artistic	adj. 艺术的;艺术家的
artistry	n. 艺术才能;艺术性
as	prep. 当作;像\nconj. 当...时;像...
asbestos	n. 石棉
ascend	v. 攀登;登高
ascendant	adj. 上升的;优势的\nn. 星位;优势
ascension	n. 上升;耶稣升天
ascent	n. 攀登;上升
ascertain	v. 查明
ascetic	adj. 苦行的\nn. 禁欲者;苦行者
ascribe	v. 把...归属;把...归因
asexual	adj. 无性的
ash	n. 灰灰2;撒灰于
ashamed	adj. 惭愧的
ashore	adv. 向岸
ashtray	n. 烟灰缸
ashy	adj. 灰色的;像灰的
aside	adv. 离开;撇开\nn. 离题的话;旁白
ask	v. 问
askance	adv. 怀疑地;斜着眼睛
askew	adj. 错误的;歪斜地\nadv. 错;轻蔑地
aslant	adj. 倾斜的\nadv. 倾斜地\nprep. 倾斜地横在...上
asleep	adj. 长眠的;麻木的
aspect	n. 方面;面貌
aspen	adj. 颤动的;山杨的\nn. 山杨
asperity	n. 粗暴;粗糙
aspersion	n. 诽谤;洒水
asphalt	n. 沥青;天然沥青\nv. 铺沥青于
asphyxia	n. 窒息
asphyxiate	v. 使窒息;窒息
aspirant	adj. 渴望的\nn. 有抱负的人
aspiration	n. 发送气音;热望;抱负
aspire	v. 渴望;追求;上升
aspirin	n. 阿司匹林
ass	n. 驴;傻瓜
assail	v. 攻击;质问
assassin	n. 暗杀者;诋毁者
assault	n. 攻击;强奸\nv. 攻击;困扰
assay	n. 试金;试样\nv. 化验;试验
assemblage	n. 聚集
